user_id,text_duplicate,final
298798289.0,"Yeah! #Nantucket
STAY HOME SAFE LIVES
COVID-19 cases in Mass.
https://t.co/H4pbcVp6LN
#Boston #Celtics #Bruins #RedSox #Patriots #massachusetts #rhodeisland #connecticut #ct #newyorkcity #newyork #nyc #ack… https://t.co/caJxMTNB1m",yeah nantucket stay home safe life covid19 case mass boston celtic bruin redsox patriot massachusetts rhodeisland connecticut ct newyorkcity newyork nyc ack…
799531411.0,"1,794 Total Coronavirus Cases In Oklahoma; 88 Virus-Related Deaths Reported, OSDH Says https://t.co/gOEW8hAnr2 #COVID19",1794 total coronavirus case oklahoma 88 virusrelated death report osdh say covid19
2376194454.0,Love seeing people with no medical background talk like they know how the coronavirus is gonna pan out. Glad my mom is a medical lab professional who does real research instead of reading tweets 🤧,love see people no medical background talk like know the coronavirus gon na pan out glad mom medical lab professional real research instead reading tweet
1.0859749865300296e+18,@xoxoxoflower Find the cure for Coronavirus,find the cure coronavirus
7.065789884671427e+17,"Ppl... If your business is experiencing a shut down because of the covid virus, please allow three weeks tops b4 business can resume production after the ok.  You gotta steril...  While steril in progress, you heal! Again gotta have the ok if you are subjected by the virus.",ppl your business experience shut the covid virus please allow three week top b4 business resume production the ok get ta steril steril progress heal get ta the ok subject the virus
9.834681846899384e+17,"Another very interesting read just to inform the people who still don't believe they knew about it, or the very stuip jackass's who believe the Dems and Fake News. (The U.S. military just made one unthinkable statement about Trump and the coronavirus - https://t.co/6nHTBOEzjn",another interest read to inform the people still dont believe knew the stuip jackass believe the dems fake news the u military make one unthinkable statement trump the coronavirus
30521806.0,‘I Become a Person of Suspicion’ https://t.co/Oa8CWkjPbU,‘ become person suspicion
89609745.0,"These aint red bottoms, I got the COVID-19’s on",aint red bottom get the covid19
3000858010.0,"What BLESSINGS did you discover??
@prilaga #myblessings #covıd19 #coronavirus #coronavírus #prilaga #godsblessings #covi̇d19 #moreblessings #covid19 #coronavirüs https://t.co/xN5Qa8UDml",blessing discover myblessings covıd19 coronavirus coronavírus prilaga godsblessings covi̇d19 moreblessings covid19 coronavirüs
3260399730.0,"😎Texas gov Abbott eyes reopening state businesses as he preps executive order laying out guidelines

https://t.co/GkTtHz30Ap",texas gov abbott eye reopen state business prep executive order lay out guideline
3260399730.0,"😎Most eligible Americans will receive coronavirus aid checks by April 15, Treasury official says

https://t.co/3YJpGrOFwo",eligible american receive coronavirus aid check april 15 treasury official say
246650505.0,"Is the XFL a predictor of future disasters or just really freaking unlucky?  Started in spring 2001, then later that year September 11 and it’s over.  Started up again in early 2020 and Covid 19 led to an early death.  #NFL conspiracy? #timing #WTF @shannonfarren @ohrnberger",the xfl predictor future disaster really freak unlucky start spring 2001 later year september 11  start early 2020 covid 19 lead to early death nfl conspiracy timing wtf
21258970.0,"@MexiCould @rhetorusrex @COVID_1337 @LizardRumsfeld @KevinMKruse I don’t know, Rimjob, that’s why I asked.",know rimjob  ask
21258970.0,"@MexiCould @rhetorusrex @COVID_1337 @LizardRumsfeld @KevinMKruse I do know, but I’d like to know more about what you think 😊",do know  like to know think
14235712.0,"Administrative Assistant for the College of Biblical Studies Sarah Bailey has organized an assembly line across the OKC area for the creation and distribution of 1,200 masks for @OUMCEdmond patients.💪 

We're proud of you, Sarah!
📖 https://t.co/hjFEmiFlOL
#OCatHome #LifeatHome",administrative assistant the college biblical study sarah bailey organize assembly line across the okc area the creation distribution 1200 mask patient proud sarah ocathome lifeathome
383090278.0,The last tattoo I made before deciding to stay home!  #lockdown2020 Covid-19 #stayhome #bqtattoos #createsomethingeveryday @ Dark Horse Tattoo Company https://t.co/i0oWp27cVE,the last tattoo make decide to stay home lockdown2020 covid19 stayhome bqtattoos createsomethingeveryday dark horse tattoo company
355767703.0,Does @zachdietsch have daddy issues? #COVIDー19 #coronavirus https://t.co/9hlsXZw0EV,daddy issue covid19 coronavirus
72532383.0,Using VFX to Explain Why COVID-19 Surprised Everyone https://t.co/yy4eq4YkE8 via @YouTube my grandson (16) shared this with me ...it’s good,use vfx to explain covid19 surprised everyone via grandson 16 share  good
505012706.0,Progressive funny as hell giving me 10$ back in a refund because of covid-19 LMFAOOOO DUMBASS BITCHES.,progressive funny hell give 10 back refund covid19 lmfaoooo dumbass bitch
3425973819.0,Glad to see this from @GovAbbott We must #ReopenAmerica ✌️❤️🇺🇸 #Texas #COVIDー19   https://t.co/bbbPQDQt0c,glad to see from must reopenamerica texas covid19
14158766.0,@JoshPeckler @ASHIMOSITY @alexmonney @LogitechG @Jess_Monney @ggfiref1y @DogImpersonator You and @SloaneDukeof  should chat with me@on speakers once we get closer to beating Covid,chat speaker get closer to beating covid
18989216.0,COVID 19 has killed more people than any hoax in history!,covid 19 kill people hoax history
157704784.0,Covid 19 is making my trips to the dispensary more expensive.  I do not like that.,covid 19 make trip to the dispensary expensive do like
2983846407.0,"If you know someone who had COVID-19 and has since recovered please tag them below or privately message me. You can be located anywhere in the world &amp; must be comfortable talking about your experience on camera via FaceTime or Skype, etc. Thank you in advance. ❤️",know someone covid19 since recover please tag privately message locate anywhere the world amp must comfortable talk your experience camera via facetime skype etc thank advance
111464878.0,"My academic alter-ego suggests watching old matches. Interestingly, I haven't been that attracted to nostalgia during the #Quarantine - at least in terms of sport viewing. Much more content to have an unfamiliar, recent match in the background. 
https://t.co/q6lWVjxJWN",academic alterego suggests watch old match interestingly havent attract to nostalgia the quarantine at least term sport view much content to unfamiliar recent match the background
105374246.0,6 hour wait‼️That’s how long some sat in their cars today to get a #COVID antibody test in Orange County. More at 5pm @cbsls #cbsla #antibody https://t.co/VufOkRulCw,6 hour wait‼that  long sat car today to get covid antibody test orange county at 5pm cbsla antibody
463246076.0,'They don't get to summer in the Hamptons? Who cares?': CEO says US should let companies owned by billionaires get 'wiped out' during the coronavirus crisis https://t.co/fznquNsBAI via @businessinsider,dont get to summer the hampton care ceo say u let company own billionaire get wipe out the coronavirus crisis via
463246076.0,"Fewer deaths, earlier peak in new coronavirus prediction for Illinois https://t.co/Q7ab75M2uV",few death earlier peak new coronavirus prediction illinois
4807561.0,AI Weekly: The sudden speed of technological change in a coronavirus world https://t.co/HE5YGaipA1 via @VentureBeat,ai weekly the sudden speed technological change coronavirus world via
4807561.0,Content and coronavirus: How you can differentiate from the masses https://t.co/NitgUtwwVj via @marketingland #B2B,content coronavirus differentiate from the mass via b2b
284633438.0,Did I tear up at the COVID-19 Google commercial? And then the local ABC 7 commercial about healthcare workers? https://t.co/urwwbDi0iK,tear at the covid19 google commercial the local abc 7 commercial healthcare worker
7.095443558417408e+17,You know would be funny. Stores getting upset that they can’t sell their toilet paper or disinfectant wipes. I  turned a Target worker down when they asked me if I need any. 🤣🤷🏻‍♂️ @Target  #COVID  #CoronavirusPandemic  #coronavirus,know would funny store get upset  sell toilet paper disinfectant wipe turn target worker ask need ‍ covid coronaviruspandemic coronavirus
178316031.0,"@NeuroDx @UCSF_Epibiostat I’ve been watching a lot of armchair radiologists reading COVID x-rays &amp; CT scans on TV lately as well.   Scary...

Sticking with @NeuroDx @ucsf Radiology",watch lot armchair radiologist reading covid xrays amp ct scan tv lately well scary stick radiology
221266383.0,"Ok “Mr. President,” we stayed home and slowed the spread of COVID-19 for you.  Why are you saying we should reopen the economy?  What’s changed?  Do we have testing you promised?  How about a cure?  A vaccine?  I’m immune compromised and if I get the virus I will die. No thanks.",ok  mr president  stayed home slow the spread covid19 say reopen the economy  change do test promise cure vaccine  immune compromise get the virus die no thanks
23097227.0,A wild realignment proposal is on the table to bring baseball back during the COVID-19 pandemic  https://t.co/YwKjoluObP,wild realignment proposal the table to bring baseball back the covid19 pandemic
136361065.0,I’m def not birthing no Covid baby... are you shittin me?!,def birthing no covid baby shittin
50495265.0,"Doorbell video captures violent Illinois home invasion which left coronavirus mask-wearing suspect dead

https://t.co/uIppMP1Tbg",doorbell video capture violent illinois home invasion left coronavirus maskwearing suspect dead
